Schaf_1;247;de.shd.day5.animals.Sheep
Schwein_2;337;de.shd.day5.animals.Pig
Schaf_3;281;de.shd.day5.animals.Sheep
Kuh_4;741;de.shd.day5.animals.Cow
Hund_5;85;de.shd.day5.animals.Dog
Kuh_6;61;de.shd.day5.animals.Cow
Schaf_7;232;de.shd.day5.animals.Sheep
Schwein_8;128;de.shd.day5.animals.Pig
Hund_9;2;de.shd.day5.animals.Dog
Schaf_10;13;de.shd.day5.animals.Sheep
Kuh_11;166;de.shd.day5.animals.Cow
Schaf_12;166;de.shd.day5.animals.Sheep
Schaf_13;222;de.shd.day5.animals.Sheep
Hund_14;71;de.shd.day5.animals.Dog
Hund_15;94;de.shd.day5.animals.Dog
Schwein_16;276;de.shd.day5.animals.Pig
Kuh_17;99;de.shd.day5.animals.Cow
Kuh_18;723;de.shd.day5.animals.Cow
Schaf_19;62;de.shd.day5.animals.Sheep
Hund_20;36;de.shd.day5.animals.Dog
Schwein_21;35;de.shd.day5.animals.Pig
Hund_22;94;de.shd.day5.animals.Dog
Schwein_23;176;de.shd.day5.animals.Pig
Schwein_24;178;de.shd.day5.animals.Pig
Hund_25;84;de.shd.day5.animals.Dog
Hund_26;9;de.shd.day5.animals.Dog
Kuh_27;725;de.shd.day5.animals.Cow
Schaf_28;235;de.shd.day5.animals.Sheep
Schwein_29;280;de.shd.day5.animals.Pig
Schaf_30;209;de.shd.day5.animals.Sheep
Kuh_31;506;de.shd.day5.animals.Cow
Schaf_32;10;de.shd.day5.animals.Sheep
Kuh_33;689;de.shd.day5.animals.Cow
Schaf_34;254;de.shd.day5.animals.Sheep
Kuh_35;40;de.shd.day5.animals.Cow
Hund_36;63;de.shd.day5.animals.Dog
Hund_37;26;de.shd.day5.animals.Dog
Kuh_38;724;de.shd.day5.animals.Cow
Kuh_39;784;de.shd.day5.animals.Cow
Kuh_40;157;de.shd.day5.animals.Cow
Hund_41;26;de.shd.day5.animals.Dog
Kuh_42;558;de.shd.day5.animals.Cow
Schaf_43;227;de.shd.day5.animals.Sheep
Schaf_44;82;de.shd.day5.animals.Sheep
Schwein_45;514;de.shd.day5.animals.Pig
Schaf_46;257;de.shd.day5.animals.Sheep
Hund_47;6;de.shd.day5.animals.Dog
Schwein_48;31;de.shd.day5.animals.Pig
Hund_49;49;de.shd.day5.animals.Dog
Hund_50;80;de.shd.day5.animals.Dog
