Schwein_1;234;de.shd.day8.animals.Pig;MALE
Schwein_2;298;de.shd.day8.animals.Pig;MALE
Hund_3;10;de.shd.day8.animals.Dog;FEMALE
Kuh_4;260;de.shd.day8.animals.Cow;MALE
Schaf_5;162;de.shd.day8.animals.Sheep;MALE
Schwein_6;50;de.shd.day8.animals.Pig;MALE
Kuh_7;45;de.shd.day8.animals.Cow;MALE
Schwein_8;101;de.shd.day8.animals.Pig;MALE
Schwein_10;285;de.shd.day8.animals.Pig;MALE
Kuh_11;112;de.shd.day8.animals.Cow;FEMALE
Kuh_12;43;de.shd.day8.animals.Cow;FEMALE
Schwein_13;181;de.shd.day8.animals.Pig;MALE
Schwein_14;80;de.shd.day8.animals.Pig;MALE
Schaf_15;64;de.shd.day8.animals.Sheep;FEMALE
Kuh_16;264;de.shd.day8.animals.Cow;MALE
Hund_17;84;de.shd.day8.animals.Dog;MALE
Schwein_18;44;de.shd.day8.animals.Pig;FEMALE
Schwein_19;306;de.shd.day8.animals.Pig;FEMALE
Hund_21;61;de.shd.day8.animals.Dog;MALE
Schwein_22;38;de.shd.day8.animals.Pig;FEMALE
Schaf_23;142;de.shd.day8.animals.Sheep;FEMALE
Schaf_24;66;de.shd.day8.animals.Sheep;FEMALE
Kuh_25;140;de.shd.day8.animals.Cow;FEMALE
Schaf_27;190;de.shd.day8.animals.Sheep;MALE
Hund_28;201;de.shd.day8.animals.Dog;FEMALE
Kuh_29;134;de.shd.day8.animals.Cow;MALE
Hund_30;21;de.shd.day8.animals.Dog;MALE
Schaf_31;38;de.shd.day8.animals.Sheep;FEMALE
Schaf_32;172;de.shd.day8.animals.Sheep;MALE
Schaf_33;14;de.shd.day8.animals.Sheep;FEMALE
Schaf_34;88;de.shd.day8.animals.Sheep;MALE
Schwein_35;78;de.shd.day8.animals.Pig;FEMALE
Schaf_36;156;de.shd.day8.animals.Sheep;MALE
Kuh_37;182;de.shd.day8.animals.Cow;FEMALE
Schaf_38;79;de.shd.day8.animals.Sheep;MALE
Schwein_39;330;de.shd.day8.animals.Pig;MALE
Schwein_40;147;de.shd.day8.animals.Pig;FEMALE
Schwein_41;204;de.shd.day8.animals.Pig;MALE
Schwein_42;165;de.shd.day8.animals.Pig;MALE
Schwein_43;328;de.shd.day8.animals.Pig;MALE
Schwein_44;290;de.shd.day8.animals.Pig;FEMALE
Schaf_45;192;de.shd.day8.animals.Sheep;MALE
Schwein_46;190;de.shd.day8.animals.Pig;MALE
Kuh_47;100;de.shd.day8.animals.Cow;MALE
Schwein_48;203;de.shd.day8.animals.Pig;FEMALE
Kuh_49;245;de.shd.day8.animals.Cow;MALE
Schaf_50;152;de.shd.day8.animals.Sheep;MALE
KuhBaby_1;19;de.shd.day8.animals.Cow;FEMALE
KuhBaby_2;231;de.shd.day8.animals.Cow;FEMALE
KuhBaby_3;77;de.shd.day8.animals.Cow;FEMALE
KuhBaby_4;78;de.shd.day8.animals.Cow;FEMALE
HundBaby_1;84;de.shd.day8.animals.Dog;FEMALE
HundBaby_2;99;de.shd.day8.animals.Dog;FEMALE
SchweinBaby_1;75;de.shd.day8.animals.Pig;FEMALE
SchweinBaby_2;44;de.shd.day8.animals.Pig;FEMALE
SchweinBaby_3;39;de.shd.day8.animals.Pig;FEMALE
SchweinBaby_4;257;de.shd.day8.animals.Pig;FEMALE
SchweinBaby_5;202;de.shd.day8.animals.Pig;FEMALE
SchweinBaby_6;153;de.shd.day8.animals.Pig;FEMALE
SchweinBaby_7;336;de.shd.day8.animals.Pig;FEMALE
SchafBaby_1;3;de.shd.day8.animals.Sheep;FEMALE
SchafBaby_2;109;de.shd.day8.animals.Sheep;FEMALE
SchafBaby_3;182;de.shd.day8.animals.Sheep;FEMALE
SchafBaby_4;39;de.shd.day8.animals.Sheep;FEMALE
SchafBaby_5;143;de.shd.day8.animals.Sheep;FEMALE
